Year,State Coverage,Region,Quantity,Total Value
1995,Virginia,South,65110000.0,368300000.0
1995,Washington,West,53500000.0,231800000.0
1995,West Virginia,South,13600000.0,82650000.0
1995,Wisconsin,Midwest,58200000.0,210000000.0
1995,Wyoming,West,8530000.0,45000000.0
1996,Alabama,South,52700000.0,258600000.0
1996,Alaska,West,11980000.0,52400000.0
1996,Arizona,West,48700000.0,239600000.0
1996,Arkansas,South,37400000.0,201500000.0
1996,California,West,149700000.0,878000000.0
1996,Colorado,West,41540000.0,197900000.0
1996,Connecticut,Northeast,13100000.0,81900000.0
1996,Delaware,South,2370000.0,6820000.0
1996,Florida,South,92100000.0,462800000.0
1996,Georgia,South,69920000.0,425500000.0
1996,Hawaii,West,6580000.0,77700000.0
1996,Idaho,West,18660000.0,67000000.0
1996,Illinois,Midwest,101100000.0,508000000.0
1996,Indiana,Midwest,78500000.0,354000000.0
1996,Iowa,Midwest,47700000.0,256600000.0
1996,Kansas,Midwest,33600000.0,141300000.0
1996,Kentucky,South,65810000.0,268600000.0
1996,Louisiana,South,13790000.0,77100000.0
1996,Maine,Northeast,9200000.0,42300000.0
1996,Maryland,South,32100000.0,203400000.0
1996,Massachusetts,Northeast,26000000.0,174100000.0
1996,Michigan,Midwest,92400000.0,341000000.0
1996,Minnesota,Midwest,43900000.0,166000000.0
1996,Mississippi,South,15580000.0,69900000.0
1996,Missouri,Midwest,76820000.0,360600000.0
1996,Montana,West,11260000.0,44380000.0
1996,Nebraska,Midwest,19270000.0,84100000.0
1996,Nevada,West,25480000.0,138200000.0
1996,New Hampshire,Northeast,9050000.0,45150000.0
1996,New Jersey,Northeast,34600000.0,215400000.0
1996,New Mexico,West,13360000.0,67300000.0
1996,New York,Northeast,71700000.0,378000000.0
1996,North Carolina,South,67200000.0,444500000.0
1996,North Dakota,Midwest,8320000.0,23800000.0
1996,Ohio,Midwest,110200000.0,506000000.0
1996,Oklahoma,South,36210000.0,144700000.0
1996,Oregon,West,40300000.0,188800000.0
1996,Pennsylvania,Northeast,102500000.0,603600000.0
1996,Rhode Island,Northeast,3430000.0,22980000.0
1996,South Carolina,South,32580000.0,175000000.0
1996,South Dakota,Midwest,14390000.0,56400000.0
1996,Tennessee,South,63480000.0,340300000.0
1996,Texas,South,147800000.0,619000000.0
1996,Utah,West,29080000.0,99600000.0
1996,Vermont,Northeast,8430000.0,38000000.0
1996,Virginia,South,69480000.0,396800000.0
1996,Washington,West,53300000.0,243400000.0
1996,West Virginia,South,14430000.0,86110000.0
1996,Wisconsin,Midwest,58600000.0,218000000.0
1996,Wyoming,West,8600000.0,44700000.0
1997,Alabama,South,55400000.0,331800000.0
1997,Alaska,West,15840000.0,80900000.0
1997,Arizona,West,46990000.0,231000000.0
1997,Arkansas,South,38700000.0,215100000.0
1997,California,West,164600000.0,993000000.0
1997,Colorado,West,41820000.0,202800000.0
1997,Connecticut,Northeast,11170000.0,80100000.0
1997,Delaware,South,2540000.0,12400000.0
1997,Florida,South,92800000.0,469500000.0
1997,Georgia,South,72010000.0,455600000.0
1997,Hawaii,West,5938000.0,63710000.0
1997,Idaho,West,18710000.0,61400000.0
1997,Illinois,Midwest,99100000.0,500000000.0
1997,Indiana,Midwest,80900000.0,374100000.0
1997,Iowa,Midwest,49900000.0,266300000.0
1997,Kansas,Midwest,34200000.0,147600000.0
1997,Kentucky,South,71340000.0,320600000.0
1997,Louisiana,South,14820000.0,76800000.0
1997,Maine,Northeast,8820000.0,43500000.0
1997,Maryland,South,34600000.0,225400000.0
1997,Massachusetts,Northeast,25700000.0,162800000.0
1997,Michigan,Midwest,104000000.0,380000000.0
1997,Minnesota,Midwest,49100000.0,202000000.0
1997,Mississippi,South,18180000.0,92500000.0
1997,Missouri,Midwest,77930000.0,384600000.0
1997,Montana,West,10990000.0,41400000.0
1997,Nebraska,Midwest,20600000.0,92700000.0
1997,Nevada,West,28750000.0,151800000.0
1997,New Hampshire,Northeast,10450000.0,48900000.0
1997,New Jersey,Northeast,38900000.0,238300000.0
1997,New Mexico,West,12310000.0,62300000.0
1997,New York,Northeast,72900000.0,429000000.0
1997,North Carolina,South,75400000.0,529200000.0
1997,North Dakota,Midwest,9360000.0,26800000.0
1997,Ohio,Midwest,121100000.0,579000000.0
1997,Oklahoma,South,40450000.0,138000000.0
1997,Oregon,West,40300000.0,210000000.0
1997,Pennsylvania,Northeast,104900000.0,624500000.0
1997,Rhode Island,Northeast,3790000.0,27200000.0
1997,South Carolina,South,34030000.0,232400000.0
1997,South Dakota,Midwest,16100000.0,64300000.0
1997,Tennessee,South,69050000.0,388500000.0
1997,Texas,South,141100000.0,622000000.0
1997,Utah,West,44300000.0,149600000.0
1997,Vermont,Northeast,11730000.0,60300000.0
1997,Virginia,South,72000000.0,429700000.0
1997,Washington,West,55200000.0,272200000.0
1997,West Virginia,South,14570000.0,84710000.0
1997,Wisconsin,Midwest,62200000.0,230000000.0
1997,Wyoming,West,8100000.0,43000000.0
1998,Alabama,South,63300000.0,447100000.0
1998,Alaska,West,12900000.0,69770000.0
1998,Arizona,West,55980000.0,273800000.0
