Mine ID,Mine Name,Commodity,Mine Status,Status Date,Type of Mine
0102888,Pit No 1,Construction Sand and Gravel,Abandoned,4/8/1993,Surface
0102892,Pit #1,Construction Sand and Gravel,Abandoned,5/23/1991,Surface
0102903,Belgreen Sand & Gravel,Construction Sand and Gravel,Abandoned,5/5/1994,Surface
0102909,Ivey Pit,Construction Sand and Gravel,Abandoned,6/10/1991,Surface
0102911,FREISE #225,Construction Sand and Gravel,Abandoned,5/14/2001,Surface
0102915,Baker Mann,Construction Sand and Gravel,Abandoned,3/29/1993,Surface
0102916,Pit  #1,Construction Sand and Gravel,Abandoned,4/22/2004,Surface
0102917,Holt Pit,Construction Sand and Gravel,Abandoned,3/4/1993,Surface
0102927,Booth Sand And Gravel Incorporated,Construction Sand and Gravel,Abandoned,1/7/1993,Surface
0102928,Tocwah Pit,Construction Sand and Gravel,Abandoned,7/31/2003,Surface
0102929,Nall Pit,Construction Sand and Gravel,Abandoned,4/21/1992,Surface
0102930,Lyon Pit,Construction Sand and Gravel,Abandoned,6/8/1995,Surface
0102934,PIT #1 REPTON,Construction Sand and Gravel,Abandoned,10/11/2006,Surface
0102936,PIT JACKSON,Construction Sand and Gravel,Abandoned,7/10/2020,Facility
0102938,Pit #2,Construction Sand and Gravel,Abandoned,1/11/1996,Surface
0102941,Henson Pit #1,Construction Sand and Gravel,Abandoned,9/11/1992,Surface
0102948,Dixie Sand and Gravel LLC,Construction Sand and Gravel,Abandoned,3/18/2009,Surface
0102949,Moody Swamp Plant,Construction Sand and Gravel,Abandoned,12/31/1994,Facility
0102950,"Mobile Abrasives, Inc.",Construction Sand and Gravel,Abandoned,1/6/2015,Surface
0102958,Jackson Creek Sand,Construction Sand and Gravel,Abandoned,3/4/2016,Surface
0102959,Sand Plant #131,Construction Sand and Gravel,Abandoned,5/10/2005,Surface
0102964,MOSELY PIT,Construction Sand and Gravel,Abandoned,5/24/1999,Surface
0102967,Taylorville Pit,Construction Sand and Gravel,Abandoned,12/7/1993,Surface
0102975,Pit #3,Construction Sand and Gravel,Abandoned,7/6/1995,Surface
0102981,Pit #1,Construction Sand and Gravel,Abandoned,4/16/1993,Surface
0102987,Sims Pit,Construction Sand and Gravel,Abandoned,4/4/1995,Surface
0102989,Sipsey Valley Sand & Gravel Incorporated,Construction Sand and Gravel,Abandoned,5/31/1994,Surface
0102993,Weekly Pit,Construction Sand and Gravel,Abandoned,5/16/1994,Surface
0103001,PLANT #2,Construction Sand and Gravel,Abandoned,2/25/2002,Surface
0103005,Rabbit Creek Pit,Construction Sand and Gravel,Active,6/5/2012,Surface
0103007,Grove Hill Crusher,Construction Sand and Gravel,Abandoned,4/4/1994,Facility
0103012,SM-1,Construction Sand and Gravel,Abandoned,10/2/1998,Surface
0103023,Pollard Pit 1,Construction Sand and Gravel,Abandoned,1/18/2005,Surface
0103028,PLANT 1 GAMBLE PIT,Construction Sand and Gravel,Abandoned,4/8/1997,Surface
0103035,Gulf #1,Construction Sand and Gravel,Abandoned,10/18/1995,Surface
0103039,Cook Pit,Construction Sand and Gravel,Abandoned,4/10/1995,Surface
0103040,EWELL INDUSTRIES INC. DAWSON PIT,Construction Sand and Gravel,Abandoned,12/1/2000,Surface
0103041,Turkey Creek Sand and Gravel Inc,Construction Sand and Gravel,Active,10/1/2005,Surface
0103042,PIT #2,Construction Sand and Gravel,Abandoned,3/17/2001,Surface
0103043,Ward Mine,Construction Sand and Gravel,Abandoned,2/4/2009,Surface
0103044,PICKARD PIT,Construction Sand and Gravel,Abandoned,2/9/2001,Surface
0103045,PLUMMER PIT,Construction Sand and Gravel,Abandoned,10/30/1998,Surface
0103046,LINE CREEK PIT,Construction Sand and Gravel,Abandoned,8/4/2003,Surface
0103047,Blount Springs Sand Plant,Construction Sand and Gravel,Active,9/19/2012,Surface
0103048,Ward Pit,Construction Sand and Gravel,Abandoned,6/12/1996,Surface
0103060,ATMORE MATERIALS,Construction Sand and Gravel,Abandoned,12/3/1997,Surface
